0,animal sur la voie
1,animal sur la voie
2,colis suspect
3,colis suspect
4,colis suspect
5,colis suspect
6,panne de matériel
7,panne de matériel
8,incident technique
9,incident technique
10,incident technique
11,incident technique
12,incident technique
13,incident voyageur
14,incident technique
15,incident technique
16,incident technique
17,incident technique
18,incident technique
19,incident technique
20,incident technique
21,voyageur malade
22,incident technique
23,incident technique
24,voyageur malade
25,voyageur malade
26,incident technique
27,incident technique
28,incident technique
29,panne de signalisation
30,voyageur malade
31,grave de voyageur
32,grave de voyageur
33,colis suspect
34,colis suspect
35,colis suspect
36,grave de voyageur
37,grave de voyageur
38,colis suspect
39,colis suspect
40,colis suspect
41,colis suspect
42,grave de voyageur
43,panne de matériel
44,panne de matériel
45,panne de matériel
46,voyageur malade
47,voyageur malade
48,malaise voyageur
49,accident de personne
50,accident de personne
51,voyageur malade
52,voyageur malade
53,grave de voyageur
54,grave de voyageur
55,grave de voyageur
56,grave de voyageur
57,grave de voyageur
58,grave de voyageur
59,incident voyageur
60,incident voyageur
61,voyageur malade
62,panne de signalisation
63,colis suspect
64,colis suspect
65,incident voyageur
66,voyageur malade
67,divers incidents
68,incident technique
69,voyageur malade
70,incident technique
71,incident technique
72,incident technique
73,incident technique
74,incident technique
75,incident technique
76,incident technique
77,panne de signalisation
78,voyageur malade
79,voyageur malade
80,panne de signalisation
81,voyageur malade
82,panne de signalisation
83,panne de signalisation
84,panne de signalisation
85,panne de signalisation
86,colis suspect
87,colis suspect
88,colis suspect
89,panne de caténaire
90,panne de caténaire
91,panne de signalisation
92,panne de matériel
93,panne de matériel
94,panne de matériel
95,incident technique
96,incident technique
97,incident technique
98,incident technique
99,incident technique
100,Défaut d'alimentation électrique
101,panne de signalisation
102,incident technique
103,incident technique
104,voyageur malade
105,voyageur malade
106,colis suspect
107,colis suspect
108,incident technique
109,voyageur malade
110,grave de voyageur
111,colis suspect
112,colis suspect
113,incident technique
114,incident technique
115,voyageur malade
116,voyageur malade
117,voyageur malade
118,grave de voyageur
119,grave de voyageur
120,grave de voyageur
121,colis suspect
122,colis suspect
123,incident technique
124,colis suspect
125,incident technique
126,incident technique
127,colis suspect
128,incident technique
129,incident technique
130,voyageur malade
131,colis suspect
132,colis suspect
133,colis suspect
134,incident technique
135,panne de signalisation
136,panne de signalisation
137,voyageur malade
138,voyageur malade
139,voyageur malade
140,voyageur malade
141,panne de matériel
142,panne de matériel
143,colis suspect
144,colis suspect
145,voyageur malade
146,voyageur malade
147,voyageur malade
148,incident voyageur
149,divers incidents
150,incident technique
151,incident technique
152,incident technique
153,panne de matériel
154,panne de matériel
155,voyageur malade
156,voyageur malade
157,voyageur malade
158,incident technique
159,incident technique
160,incident technique
161,incident technique
162,incident technique
163,incident technique
164,incident technique
165,divers incidents
166,incident technique
167,Défaut d'alimentation électrique
168,panne de caténaire
169,colis suspect
170,panne de caténaire
171,incident technique
172,incident technique
173,incident technique
174,panne de matériel
175,panne de matériel
176,panne de matériel
177,panne de matériel
178,incident technique
179,panne de matériel
180,panne de matériel
181,panne de matériel
182,incident technique
183,panne électrique
184,panne électrique
185,panne de matériel
186,panne de matériel
187,voyageur malade
188,incident voyageur
189,incident voyageur
190,panne de signalisation
191,grave de voyageur
192,grave de voyageur
193,incident technique
194,incident voyageur
195,grave de voyageur
196,grave de voyageur
197,grave de voyageur
198,incident voyageur
199,incident voyageur
200,incident voyageur
201,voyageur malade
202,grave de voyageur
203,colis suspect
204,incident technique
205,colis suspect
206,panne de signalisation
207,colis suspect
208,colis suspect
209,colis suspect
210,colis suspect
211,colis suspect
212,incident technique
213,incident technique
214,incident voyageur
215,voyageur malade
216,incident voyageur
217,voyageur malade
218,incident technique
219,incident technique
220,voyageur malade
221,incident technique
222,incident technique
223,incident technique
224,incident technique
225,incident technique
226,incident technique
227,incident technique
228,panne de matériel
229,panne de matériel
230,panne de matériel
231,panne de signalisation
232,incident voyageur
233,voyageur malade
234,incident technique
235,colis suspect
236,colis suspect
237,colis suspect
238,colis suspect
239,colis suspect
240,colis suspect
241,colis suspect
242,panne de matériel
243,panne mécanique
244,incident voyageur
245,panne mécanique
246,panne mécanique
