idptar;Departement;X;Y;Annonce Sonore Prochain Passage;Annonce Visuelle Prochain Passage;Annonce Sonore Situations Perturbees;Annonce Visuelle Situations Perturbees;coord;IDAMIVIF;nomptar;CodeINSEE;UFR;PAQT;Tel;Date de mise en accessibilite;Accessibilite Quai Train;STIF
2089;;608285;2434326;1;1;1;1;48.9071472718, 2.4494575012;IDAMIVIF;Bobigny-Pablo-Picasso;93008;0;0;;;0;1001100050001
1898;;601767;2430265;1;1;1;1;48.8707007825, 2.36057863225;IDAMIVIF;Jacques-Bonsergent;75110;0;0;;;0;1001100050001
1793;;601392;2425879;1;1;1;1;48.8312826147, 2.35545586703;IDAMIVIF;Place d'Italie;75113;0;0;;;0;1001100050001
2442;;599306;2427629;1;1;1;1;48.8470117994, 2.32705510802;IDAMIVIF;Saint-Placide;75106;0;0;;;0;1001100040001
1767;;602005;2429922;1;1;1;1;48.8676174458, 2.3638195181;IDAMIVIF;République;75111;0;0;;;0;1001100050001
2063;;602398;2428339;1;1;1;1;48.8533890715, 2.36916459888;IDAMIVIF;Bastille;75104;0;0;;;0;1001100050001
2230;;600712;2428594;1;1;1;1;48.8556848095, 2.3462029262;IDAMIVIF;Cité;75104;0;0;;;0;1001100040001
2287;;604888;2432581;1;1;1;1;48.891499343, 2.40312495732;IDAMIVIF;Hoche;93055;0;0;;;0;1001100050001
2029;;596929;2430632;1;1;1;1;48.8739938, 2.29466395849;IDAMIVIF;Charles de Gaulle-Etoile;75108;0;0;;;0;1001100020001
2086;;600956;2431709;1;1;1;1;48.8836800685, 2.34953280032;IDAMIVIF;Barbès-Rochechouart;75109;0;0;;;0;1001100020001
2547;;600956;2431709;1;1;1;1;48.8836800685, 2.34953280032;IDAMIVIF;Barbès-Rochechouart;75109;0;0;;;0;1001100020001
2398;;603908;2428895;1;1;1;1;48.8583788007, 2.38973472941;IDAMIVIF;Philippe Auguste;75111;0;0;;;0;1001100020001
2041;;604262;2428678;1;1;1;1;48.8564263076, 2.39455425432;IDAMIVIF;Alexandre-Dumas;75111;0;0;;;0;1001100020001
2405;;599330;2431684;1;1;1;1;48.8834556108, 2.32737499008;IDAMIVIF;Place de Clichy;75109;0;0;;;0;1001100020001
1812;;603518;2429710;1;1;1;1;48.8657057469, 2.38442937183;IDAMIVIF;Ménilmontant;75111;0;0;;;0;1001100020001
1910;;601671;2431788;1;1;1;1;48.8843886576, 2.35927656094;IDAMIVIF;La Chapelle;75110;0;0;;;0;1001100020001
2484;;602240;2431766;1;1;1;1;48.8841892535, 2.36703043864;IDAMIVIF;Stalingrad;75119;0;0;;;0;1001100020001
2096;;600562;2431619;1;1;1;1;48.8828716494, 2.34416356947;IDAMIVIF;Anvers;75118;0;0;;;0;1001100020001
2341;;595911;2433227;1;1;1;1;48.8973098644, 2.28076863947;IDAMIVIF;Pont de Levallois-Bécon;92044;0;0;;;0;1001100030001
1764;;601183;2429747;1;1;1;1;48.8660466289, 2.35262095068;IDAMIVIF;Réaumur-Sébastopol;75102;0;0;;;0;1001100040001
2374;;601183;2429747;1;1;1;1;48.8660466289, 2.35262095068;IDAMIVIF;Réaumur-Sébastopol;75102;0;0;;;0;1001100040001
2110;;600943;2431737;1;1;1;1;48.8839317292, 2.34935570527;IDAMIVIF;Barbès-Rochechouart;75109;0;0;;;0;1001100040001
2061;;600943;2431737;1;1;1;1;48.8839317292, 2.34935570527;IDAMIVIF;Barbès-Rochechouart;75109;0;0;;;0;1001100040001
1996;;599684;2426212;1;1;1;1;48.8342767721, 2.33220379397;IDAMIVIF;Denfert-Rochereau;75114;0;0;;;0;1001100040001
2152;;600944;2432088;1;1;1;1;48.8870862423, 2.34937006992;IDAMIVIF;Château Rouge;75118;0;0;;;0;1001100040001
1733;;599593;2428089;1;1;1;1;48.8511463143, 2.33096285303;IDAMIVIF;Saint-Sulpice;75106;0;0;;;0;1001100040001
2219;;600834;2428885;1;1;1;1;48.8583000152, 2.34786508424;IDAMIVIF;Châtelet;75101;0;0;;;0;1001100040001
1668;;600744;2432944;1;1;1;1;48.894779515, 2.34664584169;IDAMIVIF;Simplon;75118;0;0;;;0;1001100040001
1704;;606399;2428597;1;1;1;1;48.8556807674, 2.42365908215;IDAMIVIF;Robespierre;93048;0;0;;;0;1001100090001
2014;;604765;2428119;1;1;1;1;48.8513988304, 2.40139892607;IDAMIVIF;Buzenval;75120;0;0;;;0;1001100090001
2209;;601650;2430901;1;1;1;1;48.8764170121, 2.35898704312;IDAMIVIF;Gare de l'Est (Verdun);75110;0;0;;;0;1001100070001
2139;;601120;2426915;1;1;1;1;48.8405942592, 2.35175560961;IDAMIVIF;Censier-Daubenton;75105;0;0;;;0;1001100070001
2546;;601875;2431128;1;1;1;1;48.8784565261, 2.36205371292;IDAMIVIF;Château Landon;75110;0;0;;;0;1001100070001
2175;;603360;2432934;1;1;1;1;48.8946815012, 2.38230219064;IDAMIVIF;Corentin-Cariou;75119;0;0;;;0;1001100070001
2373;;600945;2431005;1;1;1;1;48.8773530545, 2.34938142062;IDAMIVIF;Poissonnière;75110;0;0;;;0;1001100070001
2321;;601144;2426418;1;1;1;1;48.836127399, 2.3520811145;IDAMIVIF;Les Gobelins;75113;0;0;;;0;1001100070001
2301;;603454;2423647;1;1;1;1;48.8112144947, 2.3835089254;IDAMIVIF;Mairie d'Ivry;94041;0;0;;;0;1001100070001
2316;;600268;2430739;1;1;1;1;48.8749630173, 2.34015678752;IDAMIVIF;Le Peletier;75109;0;0;;;0;1001100070001
2412;;602410;2424775;1;1;1;1;48.8213573215, 2.36930823389;IDAMIVIF;Porte d'Ivry;75113;0;0;;;0;1001100070001
1785;;603699;2429403;1;1;1;1;48.8629456209, 2.38689240121;IDAMIVIF;Père-Lachaise;75111;0;0;;;0;1001100030001
2395;;603699;2429403;1;1;1;1;48.8629456209, 2.38689240121;IDAMIVIF;Père-Lachaise;75111;0;0;;;0;1001100030001
1722;;599199;2430819;1;1;1;1;48.8756814657, 2.32559158149;IDAMIVIF;Saint-Lazare;75108;0;0;;;0;1001100030001
2179;;597563;2431219;1;1;1;1;48.8792721109, 2.30329854335;IDAMIVIF;Courcelles;75108;0;0;;;0;1001100020001
1881;;598129;2431582;1;1;1;1;48.8825364321, 2.31100923967;IDAMIVIF;Malesherbes;75117;0;0;;;0;1001100030001
2401;;600055;2431569;1;1;1;1;48.8824224877, 2.33725467877;IDAMIVIF;Pigalle;75118;0;0;;;0;1001100020001
2494;;597183;2431103;1;1;1;1;48.8782279997, 2.29812142925;IDAMIVIF;Ternes;75117;0;0;;;0;1001100020001
1644;;602743;2426584;1;1;1;1;48.837614635, 2.37385211235;IDAMIVIF;Quai de la Gare;75113;0;0;;;0;1001100060001
1700;;602636;2429151;1;1;1;1;48.8606859512, 2.37241092855;IDAMIVIF;Richard-Lenoir;75111;0;0;;;0;1001100050001
2445;;602636;2429151;1;1;1;1;48.8606859512, 2.37241092855;IDAMIVIF;Richard-Lenoir;75111;0;0;;;0;1001100050001
2008;;602516;2428715;1;1;1;1;48.8567679088, 2.37077385505;IDAMIVIF;Bréguet-Sabin;75111;0;0;;;0;1001100050001
2403;;601392;2425879;1;1;1;1;48.8312826147, 2.35545586703;IDAMIVIF;Place d'Italie;75113;0;0;;;0;1001100050001
2213;;601458;2431231;1;1;1;1;48.8793832619, 2.35637207803;IDAMIVIF;Gare du Nord;75110;0;0;;;0;1001100050001
1962;;600591;2425832;1;1;1;1;48.8308613646, 2.34455142997;IDAMIVIF;Glacière;75113;0;0;;;0;1001100060001
2082;;603881;2426725;1;1;1;1;48.8388761109, 2.38934738424;IDAMIVIF;Dugommier;75112;0;0;;;0;1001100060001
2297;;602501;2431620;1;1;1;1;48.8828761755, 2.37058633283;IDAMIVIF;Jaurès;75119;0;0;;;0;1001100050001
2068;;603156;2426871;1;1;1;1;48.8401922036, 2.37947725393;IDAMIVIF;Bercy;75112;0;0;;;0;1001100060001
2425;;594057;2426581;1;1;1;1;48.8375652937, 2.25559127111;IDAMIVIF;Porte de Saint-Cloud;75116;0;0;;;0;1001100090001
3343814;;608308;2422026;1;1;1;1;48.7966012568, 2.44953152104;IDAMIVIF;Créteil-L'Echat (Hôpital Henri Mondor);94028;0;0;;;0;1001100080001
3343817;;609030;2420153;1;1;1;1;48.779757217, 2.45931428775;IDAMIVIF;Créteil-Préfecture (Hôtel de Ville);94028;0;0;;;0;1001100080001
3343782;;602258;2429183;1;1;1;1;48.8609749564, 2.36726229169;IDAMIVIF;Saint-Sébastien-Froissart;75103;0;0;;;0;1001100080001
3343802;;604698;2426034;1;1;1;1;48.8326603057, 2.40046363512;IDAMIVIF;Porte de Charenton;75112;0;0;;;0;1001100080001
3343772;;600469;2430362;1;1;1;1;48.8715747028, 2.34289502865;IDAMIVIF;Grands Boulevards;75109;0;0;;;0;1001100080001
1816;;594522;2427414;1;1;1;1;48.8450560883, 2.26191141995;IDAMIVIF;Michel-Ange-Molitor;75116;0;0;;;0;1001100090001
3343792;;603723;2427653;1;1;1;1;48.8472174603, 2.38720417388;IDAMIVIF;Reuilly-Diderot;75112;0;0;;;0;1001100080001
3343766;;599132;2430132;1;1;1;1;48.8695070869, 2.32468019626;IDAMIVIF;Madeleine;75108;0;0;;;0;1001100080001
3343754;;596864;2427363;1;1;1;1;48.8446136312, 2.29380297684;IDAMIVIF;Commerce;75115;0;0;;;0;1001100080001
2088;;592776;2425973;1;1;1;1;48.8320876035, 2.23816077354;IDAMIVIF;Billancourt;92012;0;0;;;0;1001100090001
2453;;595699;2429549;1;1;1;1;48.8642533436, 2.2779167587;IDAMIVIF;Rue de la Pompe (Avenue Georges Mandel);75116;0;0;;;0;1001100090001
2005;;592054;2426930;1;1;1;1;48.8406801223, 2.22831365839;IDAMIVIF;Boulogne Pont de Saint-Cloud;92012;0;0;;;0;1001100100001
2488;;601323;2430101;1;1;1;1;48.8692278902, 2.35452917205;IDAMIVIF;Strasbourg-Saint-Denis;75102;0;0;;;0;1001100090001
2353;;594693;2427733;1;1;1;1;48.847924552, 2.26423590245;IDAMIVIF;Michel-Ange-Auteuil;75116;0;0;;;0;1001100090001
2190;;600907;2430242;1;1;1;1;48.8704957916, 2.34886211411;IDAMIVIF;Bonne Nouvelle;75109;0;0;;;0;1001100090001
2311;;602368;2429553;1;1;1;1;48.8642999032, 2.36876264947;IDAMIVIF;Oberkampf;75111;0;0;;;0;1001100090001
2531;;604491;2427853;1;1;1;1;48.8490101129, 2.39766460946;IDAMIVIF;Nation;75112;0;0;;;0;1001100090001
1927;;598563;2427611;1;1;1;1;48.8468487281, 2.3169373075;IDAMIVIF;Duroc;75107;0;0;;;0;1001100100001
1826;;599050;2427297;1;1;1;1;48.8440275954, 2.32356979388;IDAMIVIF;Montparnasse-Bienvenue;75114;0;0;;;0;1001100120001
2271;;605809;2431308;1;1;1;1;48.880051021, 2.41566020273;IDAMIVIF;Mairie des Lilas;93045;0;0;;;0;1001100110001
1986;;595773;2425385;1;1;1;1;48.8268298466, 2.27896685824;IDAMIVIF;Corentin-Celton;92040;0;0;;;0;1001100120001
2492;;604563;2430803;1;1;1;1;48.8755224085, 2.39867650781;IDAMIVIF;Télégraphe;75120;0;0;;;0;1001100110001
1984;;597054;2426531;1;1;1;1;48.8371369088, 2.29639608682;IDAMIVIF;Convention;75115;0;0;;;0;1001100120001
1632;;597906;2427007;1;1;1;1;48.8414184019, 2.30799364605;IDAMIVIF;Volontaires;75115;0;0;;;0;1001100120001
2436;;603551;2430613;1;1;1;1;48.8738211316, 2.38488636886;IDAMIVIF;Pyrénées;75120;0;0;;;0;1001100110001
1938;;598609;2427330;1;1;1;1;48.8443233422, 2.31756467285;IDAMIVIF;Falguière;75115;0;0;;;0;1001100120001
2439;;601232;2429207;1;1;1;1;48.8611933549, 2.35328695654;IDAMIVIF;Rambuteau;75104;0;0;;;0;1001100110001
2501;;597398;2426787;1;1;1;1;48.8394392405, 2.30107803914;IDAMIVIF;Vaugirard (Adolphe Chérioux);75115;0;0;;;0;1001100120001
1883;;600957;2432591;1;1;1;1;48.891606782, 2.34954830766;IDAMIVIF;Marcadet-Poissonniers;75118;0;0;;;0;1001100120001
2245;;600194;2432383;1;1;1;1;48.889738067, 2.33914908334;IDAMIVIF;Lamarck-Caulaincourt;75118;0;0;;;0;1001100120001
2052;;598811;2429236;1;1;1;1;48.8614538635, 2.32030968717;IDAMIVIF;Assemblée Nationale;75107;0;0;;;0;1001100120001
3901291;;602107;2434267;1;1;1;1;48.9066665471, 2.36523013252;IDAMIVIF;Front Populaire;93001;0;0;;;0;1001100120001
1667;;599294;2428137;1;1;1;1;48.8515774282, 2.32689078501;IDAMIVIF;Sèvres-Babylone;75107;0;0;;;0;1001100120001
2176;;595773;2425385;1;1;1;1;48.8268298466, 2.27896685824;IDAMIVIF;Corentin-Celton;92040;0;0;;;0;1001100120001
2336;;599127;2430164;1;1;1;1;48.8697946745, 2.32461200869;IDAMIVIF;Madeleine;75108;0;0;;;0;1001100120001
1982;;598892;2429685;1;1;1;1;48.8654893501, 2.32141178588;IDAMIVIF;Concorde;75108;0;0;;;0;1001100120001
1646;;599377;2427761;1;1;1;1;48.848198228, 2.32802174529;IDAMIVIF;Rennes;75106;0;0;;;0;1001100120001
2025;;598362;2429894;1;1;1;1;48.8673665297, 2.31419106006;IDAMIVIF;Champs-Elysées-Clémenceau;75108;0;0;;;0;1001100130001
2279;;600957;2432591;1;1;1;1;48.891606782, 2.34954830766;IDAMIVIF;Marcadet-Poissonniers;75118;0;0;;;0;1001100120001
1719;;598379;2428071;1;1;1;1;48.850982519, 2.31442986127;IDAMIVIF;Saint-François-Xavier;75107;0;0;;;0;1001100130001
1874;;599797;2434818;1;1;1;1;48.9116216396, 2.33373696151;IDAMIVIF;Mairie de Saint-Ouen;93070;0;0;;;0;1001100130001
1749;;597635;2425488;1;1;1;1;48.8277652858, 2.30431234743;IDAMIVIF;Porte de Vanves;75114;0;0;;;0;1001100130001
1796;;599322;2431656;1;1;1;1;48.8832039591, 2.32726602131;IDAMIVIF;Place de Clichy;75109;0;0;;;0;1001100130001
1888;;599339;2432747;1;1;1;1;48.8930090153, 2.32749583616;IDAMIVIF;Guy-Môquet;75118;0;0;;;0;1001100130001
1799;;598337;2425932;1;1;1;1;48.831758053, 2.31386654651;IDAMIVIF;Plaisance;75114;0;0;;;0;1001100130001
1959;;599663;2434235;1;1;1;1;48.9063821235, 2.33191047013;IDAMIVIF;Garibaldi;93070;0;0;;;0;1001100130001
1656;;599209;2432127;1;1;1;1;48.8874368018, 2.32572521868;IDAMIVIF;La Fourche;75117;0;0;;;0;1001100130001
1831;;589680;2433014;1;1;1;1;48.8953251065, 2.19584047054;IDAMIVIF;Nanterre-Ville;92050;1;1;;;4;1001110010001
1713;;587828;2432116;1;1;1;1;48.8872220198, 2.1706232016;IDAMIVIF;Rueil-Malmaison;92063;1;1;;;4;1001110010001
48429;;576282;2450136;1;1;1;1;49.0488353245, 2.01225841561;IDAMIVIF;Cergy-Le-Haut;95127;1;1;;;1;1001102000001
1643;;586864;2437714;1;1;1;1;48.9375121425, 2.15731104369;IDAMIVIF;Sartrouville;78586;1;1;;;4;1001110010001
1631;;607125;2427668;1;1;1;1;48.8473238304, 2.43353159354;IDAMIVIF;Vincennes;94080;1;1;;;4;1001110010001
2053;;599501;2430477;1;1;1;1;48.8726081392, 2.32970681311;IDAMIVIF;Auber;75109;1;1;;;4;1001110010001
1801;;578342;2437256;1;1;1;1;48.9331642217, 2.04108350764;IDAMIVIF;Poissy;78498;1;1;;;4;1001110010001
2243;;601914;2435541;1;1;1;1;48.9181166004, 2.36260451523;IDAMIVIF;La Plaine-Stade de France;93066;1;1;;;4;1001110010001
1672;;600738;2428401;1;1;1;1;48.8539502053, 2.34655673141;IDAMIVIF;Saint-Michel Notre-Dame;75105;1;1;;;4;1001110020001
1942;;596720;2421037;1;1;1;1;48.7877565604, 2.29189184957;IDAMIVIF;Fontenay-aux-Roses;92032;1;1;;;4;1001110020001
2105;;611496;2437109;1;1;1;1;48.9321087219, 2.49330955925;IDAMIVIF;Aulnay-sous-Bois;93005;1;1;;;4;1001110010001
2388;;598039;2419130;1;1;1;1;48.770621955, 2.30984199318;IDAMIVIF;Parc de Sceaux;92002;1;1;;;4;1001110020001
1866;;600289;2427603;1;1;1;1;48.8467785183, 2.34044117784;IDAMIVIF;Luxembourg;75105;0;1;;;4;1001110020001
1771;;588627;2411017;1;1;1;1;48.6976016061, 2.18207974521;IDAMIVIF;Orsay-Ville;91471;1;1;;;4;1001110020001
2450;;595923;2420178;1;1;1;1;48.7800312802, 2.28105937514;IDAMIVIF;Robinson;92071;1;1;;;4;1001110020001
1775;;593374;2413270;1;1;1;1;48.7179193959, 2.24650141299;IDAMIVIF;Palaiseau;91477;1;1;;;4;1001110020001
2059;;598884;2421648;1;1;1;1;48.7932557555, 2.32132499298;IDAMIVIF;Bagneux;94016;1;1;;;4;1001110020001
1706;;616460;2445833;1;1;1;1;49.0103995199, 2.56135733564;IDAMIVIF;Aéroport Charles de Gaulle 1;95527;1;1;;;4;1001110010001
2238;;592698;2432640;1;1;1;1;48.8920056133, 2.23698312048;IDAMIVIF;La Défense (Grande Arche);92062;1;1;;;4;1001110010001
2317;;585169;2432442;1;1;1;1;48.8900956656, 2.13437461099;IDAMIVIF;Le Vésinet-Centre;78650;1;1;;;4;1001110010001
2300;;609355;2424750;1;1;1;1;48.8210696376, 2.46383495297;IDAMIVIF;Joinville-le-Pont;94042;1;1;;;4;1001110010001
2370;;589680;2433014;1;1;1;1;48.8953251065, 2.19584047054;IDAMIVIF;Nanterre-Ville;92050;1;1;;;4;1001110010001
2129;;613956;2427370;1;1;1;1;48.844534026, 2.52654384297;IDAMIVIF;Bry-sur-Marne;94015;1;1;;;4;1001110010001
2211;;602742;2427384;1;1;1;1;48.8448046743, 2.37384356794;IDAMIVIF;Gare de Lyon;75112;1;1;;;4;1001110010001
1821;;622405;2442009;1;1;1;1;48.9758558192, 2.64236629857;IDAMIVIF;Mitry-Claye;77294;1;1;;;4;1001110010001
1628;;612887;2440568;1;1;1;1;48.9631675094, 2.51238782453;IDAMIVIF;Villepinte;93078;1;1;;;4;1001110010001
2302;;604425;2427794;1;1;1;1;48.8484803036, 2.39676520624;IDAMIVIF;Nation;75112;1;1;;;4;1001110010001
1919;;612977;2421849;1;1;1;1;48.794933504, 2.51304475439;IDAMIVIF;La Varenne-Chennevières;94068;1;1;;;4;1001110010001
1885;;632720;2430112;1;1;1;1;48.8684969295, 2.78225972723;IDAMIVIF;Marne-la-Vallée Chessy;77111;1;1;;;4;1001110010001
1848;;610958;2422982;1;1;1;1;48.8051541254, 2.48560756857;IDAMIVIF;Le Parc de Saint-Maur;94068;1;1;;;4;1001110010001
2480;;582291;2433364;1;1;1;1;48.8983085676, 2.09511210244;IDAMIVIF;Saint-Germain-en-Laye;78551;1;1;;;4;1001110010001
1671;;609961;2423121;1;1;1;1;48.8064195682, 2.47204504761;IDAMIVIF;Saint-Maur Créteil;94068;1;1;;;4;1001110010001
2012;;627424;2426585;1;1;1;1;48.8370461511, 2.70988412471;IDAMIVIF;Bussy-Saint-Georges;77058;1;1;;;4;1001110010001
2318;;584251;2433363;1;1;1;1;48.8983508533, 2.12182892211;IDAMIVIF;Le Vésinet-Le Pecq;78650;1;1;;;4;1001110010001
1689;;611169;2428366;1;1;1;1;48.8535398247, 2.48861963891;IDAMIVIF;Val de Fontenay;94033;1;1;;;4;1001110010001
1685;;601507;2425309;1;1;1;1;48.8261594131, 2.35701946286;IDAMIVIF;Tolbiac;75113;0;0;;;0;1001100070001
2232;;601344;2427513;1;1;1;1;48.8459683914, 2.35480738936;IDAMIVIF;Jussieu;75105;0;0;;;0;1001100070001
2134;;600502;2430835;1;1;1;1;48.8758256773, 2.34334512124;IDAMIVIF;Cadet;75109;0;0;;;0;1001100070001
3343813;;608308;2422026;1;1;1;1;48.7966012568, 2.44953152104;IDAMIVIF;Créteil-L'Echat (Hôpital Henri Mondor);94028;0;0;;;0;1001100080001
3343809;;607332;2423318;1;1;1;1;48.8082253066, 2.43627581772;IDAMIVIF;Maisons-Alfort-Stade;94046;0;0;;;0;1001100080001
3343769;;600250;2430410;1;1;1;1;48.8720061982, 2.33991138728;IDAMIVIF;Richelieu-Drouot;75109;0;0;;;0;1001100080001
3343819;;609498;2418858;1;1;1;1;48.7681110356, 2.46565028571;IDAMIVIF;Pointe du Lac;94028;0;0;;;0;1001100080001
3343797;;604878;2426516;1;1;1;1;48.8369909969, 2.40291960354;IDAMIVIF;Michel Bizot;75112;0;0;;;0;1001100080001
3343793;;603901;2427311;1;1;1;1;48.8441426903, 2.38962500951;IDAMIVIF;Montgallet;75112;0;0;;;0;1001100080001
3343753;;596864;2427363;1;1;1;1;48.8446136312, 2.29380297684;IDAMIVIF;Commerce;75115;0;0;;;0;1001100080001
